name,wikipedia_link,image_link,sci_name
Adélie penguin,https://wikipedia.org/wiki/Ad%C3%A9lie_penguin,https://en.wikipedia.org/wiki/File:Hope_Bay-2016-Trinity_Peninsula%E2%80%93Ad%C3%A9lie_penguin_(Pygoscelis_adeliae)_04.jpg,Hope Bay 2016 Trinity Peninsula–Adélie penguin (Pygoscelis adeliae) 04
Admiralty cicadabird,https://wikipedia.org/wiki/Admiralty_cicadabird,https://en.wikipedia.org/wiki/File:Blackfacedcuckooshrike.jpg,Stub icon
Afep pigeon,https://wikipedia.org/wiki/Afep_pigeon,https://en.wikipedia.org/wiki/File:Afeppigeon.jpg,Afeppigeon
Afghan babbler,https://wikipedia.org/wiki/Afghan_babbler,https://en.wikipedia.org/wiki/File:Afghan_Babbler.jpg,Afghan Babbler
Afghan snowfinch,https://wikipedia.org/wiki/Afghan_snowfinch,https://en.wikipedia.org/wiki/File:PyrgilaudaTheresae.svg,PyrgilaudaTheresae.svg
African barred owlet,https://wikipedia.org/wiki/African_barred_owlet,"https://en.wikipedia.org/wiki/File:Glaucidium_capense_-Kruger_National_Park,_South_Africa-8.jpg","Glaucidium capense  Kruger National Park, South Africa 8"
African black duck,https://wikipedia.org/wiki/African_black_duck,https://en.wikipedia.org/wiki/File:African_Black_Duck.jpg,African Black Duck
African black swift,https://wikipedia.org/wiki/African_black_swift,https://en.wikipedia.org/wiki/File:ApusBarbatus_TrevorHardaker1.jpg,ApusBarbatus TrevorHardaker1
African blue flycatcher,https://wikipedia.org/wiki/African_blue_flycatcher,https://en.wikipedia.org/wiki/File:African_Blue_Flycatcher_-_Kibale_-_Uganda_06_4453_(19438571632).jpg,African Blue Flycatcher   Kibale   Uganda 06 4453 (19438571632)
African blue tit,https://wikipedia.org/wiki/African_blue_tit,"https://en.wikipedia.org/wiki/File:Cyanistes_caeruleus_-Gran_Canaria,_Canary_Islands,_Spain-8.jpg","Cyanistes caeruleus  Gran Canaria, Canary Islands, Spain 8"
African broadbill,https://wikipedia.org/wiki/African_broadbill,"https://en.wikipedia.org/wiki/File:African_broadbill,_Smithornis_capensis.jpg","African broadbill, Smithornis capensis"
African citril,https://wikipedia.org/wiki/African_citril,https://en.wikipedia.org/wiki/File:African_Citril_-_Naivasha_-_Kenya_06_9856_(22621619658).jpg,African Citril   Naivasha   Kenya 06 9856 (22621619658)
African collared dove,https://wikipedia.org/wiki/African_collared_dove,https://en.wikipedia.org/wiki/File:Question_book-new.svg,
African crake,https://wikipedia.org/wiki/African_crake,https://en.wikipedia.org/wiki/File:CrakeAfrican2(byMarkTittley)_cropped_and_mirrored.jpg,African crake running in dry grassland
African crimson-winged finch,https://wikipedia.org/wiki/African_crimson-winged_finch,https://en.wikipedia.org/wiki/File:Crimson-winged-Finch.jpg,Crimson winged Finch
African cuckoo,https://wikipedia.org/wiki/African_cuckoo,"https://en.wikipedia.org/wiki/File:Cuculus_gularis,_mannetjie,_Pretoriuskop,_Birding_Weto,_a.jpg","Cuculus gularis, mannetjie, Pretoriuskop, Birding Weto, a"
African cuckoo-hawk,https://wikipedia.org/wiki/African_cuckoo-hawk,https://en.wikipedia.org/wiki/File:Aviceda_cuculoides00.jpg,Aviceda cuculoides00
African darter,https://wikipedia.org/wiki/African_darter,"https://en.wikipedia.org/wiki/File:Pato_aguja_africano_(Anhinga_rufa),_parque_nacional_de_Chobe,_Botsuana,_2018-07-28,_DD_46.jpg","Pato aguja africano (Anhinga rufa), parque nacional de Chobe, Botsuana, 2018 07 28, DD 46"
African desert warbler,https://wikipedia.org/wiki/African_desert_warbler,N/A,N/A
African dusky flycatcher,https://wikipedia.org/wiki/African_dusky_flycatcher,https://en.wikipedia.org/wiki/File:African_Dusky_Flycatcher.jpg,African Dusky Flycatcher
African dwarf kingfisher,https://wikipedia.org/wiki/African_dwarf_kingfisher,https://en.wikipedia.org/wiki/File:Ispidina_lecontei_by_John_Gerrard_Keulemans.jpg,Ispidina lecontei by John Gerrard Keulemans
African emerald cuckoo,https://wikipedia.org/wiki/African_emerald_cuckoo,https://en.wikipedia.org/wiki/File:Emerald_cuckoo_(Chrysococcyx_cupreus_insularum)_male_Sao_Tome.jpg,Emerald cuckoo (Chrysococcyx cupreus insularum) male Sao Tome
African finfoot,https://wikipedia.org/wiki/African_finfoot,https://en.wikipedia.org/wiki/File:African_Finfoot_-_Lake_Mburu_-_Uganda.jpg,African Finfoot   Lake Mburu   Uganda
African firefinch,https://wikipedia.org/wiki/African_firefinch,https://en.wikipedia.org/wiki/File:Firefinch_African_2017_07_02_11_45_37_0106c.jpg,Firefinch African 2017 07 02 11 45 37 0106c
African fish eagle,https://wikipedia.org/wiki/African_fish_eagle,"https://en.wikipedia.org/wiki/File:African_fish_eagle,_Haliaeetus_vocifer,_at_Chobe_National_Park,_Botswana_(33516612831).jpg","African fish eagle, Haliaeetus vocifer, at Chobe National Park, Botswana (33516612831)"
African golden oriole,https://wikipedia.org/wiki/African_golden_oriole,https://en.wikipedia.org/wiki/File:African_golden_oriole_(Oriolus_auratus_notatus).jpg,African golden oriole (Oriolus auratus notatus)
African goshawk,https://wikipedia.org/wiki/African_goshawk,https://en.wikipedia.org/wiki/File:African_Goshawk_RWD2.jpg,African Goshawk RWD2
African grass owl,https://wikipedia.org/wiki/African_grass_owl,https://en.wikipedia.org/wiki/File:Grass_Owl_adult.jpg,Grass Owl adult
African green pigeon,https://wikipedia.org/wiki/African_green_pigeon,https://en.wikipedia.org/wiki/File:African_green_pigeon_(Treron_calvus_sharpei).jpg,African green pigeon (Treron calvus sharpei)
African grey flycatcher,https://wikipedia.org/wiki/African_grey_flycatcher,https://en.wikipedia.org/wiki/File:African_grey_flycatcher_(Melaenornis_microrhynchus).jpg,African grey flycatcher (Melaenornis microrhynchus)
African grey hornbill,https://wikipedia.org/wiki/African_grey_hornbill,https://en.wikipedia.org/wiki/File:African_grey_hornbill_(Tockus_nasutus_nasutus)_male.jpg,African grey hornbill (Tockus nasutus nasutus) male
African grey woodpecker,https://wikipedia.org/wiki/African_grey_woodpecker,"https://en.wikipedia.org/wiki/File:Grey_Woodpecker_...Gambia_(33190095995),_crop.jpg","Grey Woodpecker ...Gambia (33190095995), crop"
African harrier-hawk,https://wikipedia.org/wiki/African_harrier-hawk,"https://en.wikipedia.org/wiki/File:Polyboroides_typus_-near_Sand_River_Selous,_Selous_Game_Reserve,_Tanzania-8,_crop.jpg","Polyboroides typus  near Sand River Selous, Selous Game Reserve, Tanzania 8, crop"
African hawk-eagle,https://wikipedia.org/wiki/African_hawk-eagle,https://en.wikipedia.org/wiki/File:African_Hawk-eagle_Aquila_spilogaster.jpg,African Hawk eagle Aquila spilogaster
African hill babbler,https://wikipedia.org/wiki/African_hill_babbler,https://en.wikipedia.org/wiki/File:African_Hill_Babbler_-_Kenya_S4E9067_(19493757201).jpg,African Hill Babbler   Kenya S4E9067 (19493757201)
African hobby,https://wikipedia.org/wiki/African_hobby,https://en.wikipedia.org/wiki/File:African_Hobby_bwindi_jan06.jpg,African Hobby bwindi jan06
African hoopoe,https://wikipedia.org/wiki/African_hoopoe,"https://en.wikipedia.org/wiki/File:African_Hoopoe,_Upupa_africana_(Upupa_epops)_at_Marakele_National_Park,_Limpopo,_South_Africa_(16218185517).jpg","African Hoopoe, Upupa africana (Upupa epops) at Marakele National Park, Limpopo, South Africa (16218185517)"
African jacana,https://wikipedia.org/wiki/African_jacana,https://en.wikipedia.org/wiki/File:African_jacana_(Actophilornis_africanus)_Kenya.jpg,African jacana (Actophilornis africanus) Kenya
African marsh harrier,https://wikipedia.org/wiki/African_marsh_harrier,https://en.wikipedia.org/wiki/File:Circus_ranivorus.jpg,Circus ranivorus
African olive pigeon,https://wikipedia.org/wiki/African_olive_pigeon,https://en.wikipedia.org/wiki/File:Pigeon_African_Olive_2011_09_19_07_51_51_6049_crop.jpg,Pigeon African Olive 2011 09 19 07 51 51 6049 crop
African openbill,https://wikipedia.org/wiki/African_openbill,"https://en.wikipedia.org/wiki/File:African_openbill,_Zimbabwe,_crop.jpg","African openbill, Zimbabwe, crop"
African oystercatcher,https://wikipedia.org/wiki/African_oystercatcher,https://en.wikipedia.org/wiki/File:African_Black_Oystercatcher_(2).JPG,African Black Oystercatcher (2).JPG
African palm swift,https://wikipedia.org/wiki/African_palm_swift,https://en.wikipedia.org/wiki/File:African_Palm_Swift_in_flight.jpg,African Palm Swift in flight
African paradise flycatcher,https://wikipedia.org/wiki/African_paradise_flycatcher,https://en.wikipedia.org/wiki/File:Terpsiphone_viridis_-_African_Paradise_Flycatcher.jpg,Terpsiphone viridis   African Paradise Flycatcher
African penguin,https://wikipedia.org/wiki/African_penguin,https://en.wikipedia.org/wiki/File:African_penguin_side_profile.jpg,African penguin side profile
African piculet,https://wikipedia.org/wiki/African_piculet,https://en.wikipedia.org/wiki/File:Sasia_africana_(YPM_ORN_100653).jpg,Sasia africana (YPM ORN 100653)
African pied hornbill,https://wikipedia.org/wiki/African_pied_hornbill,https://en.wikipedia.org/wiki/File:African_pied_hornbill_(Tockus_fasciatus_semifasciatus)_male.jpg,African pied hornbill (Tockus fasciatus semifasciatus) male
African pied wagtail,https://wikipedia.org/wiki/African_pied_wagtail,https://en.wikipedia.org/wiki/File:African_pied_wagtail_(Motacilla_aguimp_vidua).jpg,African pied wagtail (Motacilla aguimp vidua)
African pipit,https://wikipedia.org/wiki/African_pipit,"https://en.wikipedia.org/wiki/File:African_Pipit,_Anthus_cinnamomeus_(I_presume)_(12388148433).jpg","African Pipit, Anthus cinnamomeus (I presume) (12388148433)"
African pitta,https://wikipedia.org/wiki/African_pitta,"https://en.wikipedia.org/wiki/File:African_Pitta_(Pitta_angolensis),_Hwange_National_Park,_Zimbabwe.jpg","African Pitta (Pitta angolensis), Hwange National Park, Zimbabwe"
African pygmy goose,https://wikipedia.org/wiki/African_pygmy_goose,"https://en.wikipedia.org/wiki/File:African_pygmy_goose,_Nettapus_auritus,_at_Muirhead_Dams,_Royal_Macadamia_Plantations,_Machado,_Limpopo,_South_Africa_-_male_(26210431045)_cropped.jpg","African pygmy goose, Nettapus auritus, at Muirhead Dams, Royal Macadamia Plantations, Machado, Limpopo, South Africa   male (26210431045) cropped"
African pygmy kingfisher,https://wikipedia.org/wiki/African_pygmy_kingfisher,https://en.wikipedia.org/wiki/File:Flickr_-_Rainbirder_-_African_pygmy-kingfisher_(Ceyx_pictus).jpg,Flickr   Rainbirder   African pygmy kingfisher (Ceyx pictus)
African rail,https://wikipedia.org/wiki/African_rail,https://en.wikipedia.org/wiki/File:African_Rail_(Rallus_caerulescens).jpg,African Rail (Rallus caerulescens)
African red-eyed bulbul,https://wikipedia.org/wiki/African_red-eyed_bulbul,https://en.wikipedia.org/wiki/File:African_red-eyed_bulbul_(Pycnonotus_nigricans).jpg,African red eyed bulbul (Pycnonotus nigricans)
African reed warbler,https://wikipedia.org/wiki/African_reed_warbler,https://en.wikipedia.org/wiki/File:Acrocephalus_scirpaceus_Vlaskop_cropped.jpg,Acrocephalus scirpaceus Vlaskop cropped
African river martin,https://wikipedia.org/wiki/African_river_martin,https://en.wikipedia.org/wiki/File:African_River_Martin_Hartlaub.jpg,Perched large black swallow with red eyes and bill
African rock pipit,https://wikipedia.org/wiki/African_rock_pipit,"https://en.wikipedia.org/wiki/File:Naturalis_Biodiversity_Center_-_RMNH.AVES.123245_1_-_Anthus_crenatus_Finsch_%26_Hartlaub,_1870_-_Motacillidae_-_bird_skin_specimen.jpeg","Naturalis Biodiversity Center   RMNH.AVES.123245 1   Anthus crenatus Finsch & Hartlaub, 1870   Motacillidae   bird skin specimen.jpeg"
African sacred ibis,https://wikipedia.org/wiki/African_sacred_ibis,https://en.wikipedia.org/wiki/File:Sacred_ibis_(Threskiornis_aethiopicus).jpg,Sacred ibis (Threskiornis aethiopicus)
African scops owl,https://wikipedia.org/wiki/African_scops_owl,https://en.wikipedia.org/wiki/File:African-scops_owl_(Otus_senegalensis)_male.jpg,African scops owl (Otus senegalensis) male
African shrike-flycatcher,https://wikipedia.org/wiki/African_shrike-flycatcher,https://en.wikipedia.org/wiki/File:African_Shrike-flycatcher_specimen_RWD.jpg,African Shrike flycatcher specimen RWD
African silverbill,https://wikipedia.org/wiki/African_silverbill,"https://en.wikipedia.org/wiki/File:African_Silverbill_-_Kenya_NH8O5709_(22595043249),_crop.jpg","African Silverbill   Kenya NH8O5709 (22595043249), crop"
African skimmer,https://wikipedia.org/wiki/African_skimmer,https://en.wikipedia.org/wiki/File:Rynchops_flavirostris.jpg,Rynchops flavirostris
African snipe,https://wikipedia.org/wiki/African_snipe,https://en.wikipedia.org/wiki/File:African_snipe_(Gallinago_nigripennis_aequatorialis).jpg,African snipe (Gallinago nigripennis aequatorialis)
African spoonbill,https://wikipedia.org/wiki/African_spoonbill,https://en.wikipedia.org/wiki/File:African_spoonbill_(Platalea_alba).jpg,African spoonbill (Platalea alba)
African spotted creeper,https://wikipedia.org/wiki/African_spotted_creeper,https://en.wikipedia.org/wiki/File:SalpornisEminiKeulemans.jpg,SalpornisEminiKeulemans
African stonechat,https://wikipedia.org/wiki/African_stonechat,https://en.wikipedia.org/wiki/File:Saxicola_torquatus_-South_Africa_-male-8_(3).jpg,Saxicola torquatus  South Africa  male 8 (3)
African swamphen,https://wikipedia.org/wiki/African_swamphen,https://en.wikipedia.org/wiki/File:African_Purple_Swamphen.jpg,African Purple Swamphen
African thrush,https://wikipedia.org/wiki/African_thrush,https://en.wikipedia.org/wiki/File:Africanthrush.jpg,Africanthrush
African wattled lapwing,https://wikipedia.org/wiki/African_wattled_lapwing,https://en.wikipedia.org/wiki/File:African_wattled_lapwing_(Vanellus_senegallus_senegallus).jpg,African wattled lapwing (Vanellus senegallus senegallus)
African wood owl,https://wikipedia.org/wiki/African_wood_owl,https://en.wikipedia.org/wiki/File:African_Wood_Owl.jpg,African Wood Owl
African yellow warbler,https://wikipedia.org/wiki/African_yellow_warbler,https://en.wikipedia.org/wiki/File:African_Yellow_Warbler_-_South_Africa_S4E7584_(17123176947).jpg,African Yellow Warbler   South Africa S4E7584 (17123176947)
Agami heron,https://wikipedia.org/wiki/Agami_heron,https://en.wikipedia.org/wiki/File:Agami_Heron_(Agamia_agami).jpg,Agami Heron (Agamia agami)
Agile tit-tyrant,https://wikipedia.org/wiki/Agile_tit-tyrant,https://en.wikipedia.org/wiki/File:Anairetes_agilis.jpg,Anairetes agilis
Aguiguan reed warbler,https://wikipedia.org/wiki/Aguiguan_reed_warbler,https://en.wikipedia.org/wiki/File:Acrocephalus_schoenobaenus_1_(Marek_Szczepanek)-2.jpg,Stub icon
Agulhas long-billed lark,https://wikipedia.org/wiki/Agulhas_long-billed_lark,https://en.wikipedia.org/wiki/File:Agulhas_Long-billed_Lark_(Certhilauda_brevirostris)_perched.jpg,Agulhas Long billed Lark (Certhilauda brevirostris) perched
Ahanta spurfowl,https://wikipedia.org/wiki/Ahanta_spurfowl,https://en.wikipedia.org/wiki/File:Francolinus_ashantensis_-_1848-_-_Print_-_Iconographia_Zoologica_-_Special_Collections_University_of_Amsterdam_-_UBA01_IZ17100045.tif,Francolinus ashantensis   1848    Print   Iconographia Zoologica   Special Collections University of Amsterdam   UBA01 IZ17100045.tif
Ainley's storm petrel,https://wikipedia.org/wiki/Ainley%27s_storm_petrel,https://en.wikipedia.org/wiki/File:Oceanodroma_cheimomnestes_dist.png,Oceanodroma cheimomnestes dist.png
ʻAkekeʻe,https://wikipedia.org/wiki/%CA%BBAkeke%CA%BBe,https://en.wikipedia.org/wiki/File:Loxops_caeruleirostris1.jpg,Loxops caeruleirostris1
ʻAkiapolaʻau,https://wikipedia.org/wiki/%CA%BBAkiapola%CA%BBau,https://en.wikipedia.org/wiki/File:Akiapolaau.jpg,Akiapolaau
ʻAkikiki,https://wikipedia.org/wiki/%CA%BBAkikiki,https://en.wikipedia.org/wiki/File:Oreomystis_bairdi.jpg,Oreomystis bairdi
ʻAkohekohe,https://wikipedia.org/wiki/%CA%BBAkohekohe,https://en.wikipedia.org/wiki/File:Akohekohe.jpg,Akohekohe
Akun eagle-owl,https://wikipedia.org/wiki/Akun_eagle-owl,https://en.wikipedia.org/wiki/File:Remarques_sur_l%27ornithologie_de_l%27%C3%89tat_ind%C3%A9pendant_du_Congo_(Pl._XI)_(7164292588).jpg,Remarques sur l'ornithologie de l'État indépendant du Congo (Pl. XI) (7164292588)
Alagoas antwren,https://wikipedia.org/wiki/Alagoas_antwren,https://en.wikipedia.org/wiki/File:Thamnophilus_caerulescens.jpg,Stub icon
Alagoas curassow,https://wikipedia.org/wiki/Alagoas_curassow,https://en.wikipedia.org/wiki/File:Mitu_mitu_1838.jpg,Mitu mitu 1838
Alagoas foliage-gleaner,https://wikipedia.org/wiki/Alagoas_foliage-gleaner,https://en.wikipedia.org/wiki/File:Question_book-new.svg,
Alagoas tyrannulet,https://wikipedia.org/wiki/Alagoas_tyrannulet,"https://en.wikipedia.org/wiki/File:Phylloscartes_ceciliae_Alagoas_Tyrannulet;_Pedra_d%27Antas_reserve,_Lagoa_dos_Gatos,_Pernambuco,_Brazil.jpg","Phylloscartes ceciliae Alagoas Tyrannulet; Pedra d'Antas reserve, Lagoa dos Gatos, Pernambuco, Brazil"
Alaotra grebe,https://wikipedia.org/wiki/Alaotra_grebe,https://en.wikipedia.org/wiki/File:Tachybaptus_rufolavatus_-_Z%C3%BCrich_Zoo.JPG,Tachybaptus rufolavatus   Zürich Zoo.JPG
Albertine owlet,https://wikipedia.org/wiki/Albertine_owlet,N/A,N/A
Albertine sooty boubou,https://wikipedia.org/wiki/Albertine_sooty_boubou,https://en.wikipedia.org/wiki/File:Black-headed_Gonolek_Laniarius_erythrogaster_National_Aviary_1200px.jpg,Stub icon
Albert's lyrebird,https://wikipedia.org/wiki/Albert%27s_lyrebird,https://en.wikipedia.org/wiki/File:Lyrebird_Albert_f_20091125.JPG,Lyrebird Albert f 20091125.JPG
Aldabra brush warbler,https://wikipedia.org/wiki/Aldabra_brush_warbler,N/A,N/A
Aldabra drongo,https://wikipedia.org/wiki/Aldabra_drongo,https://en.wikipedia.org/wiki/File:Dicrurus_aldabranus_59442457_(cropped).jpg,Dicrurus aldabranus 59442457 (cropped)
Aldabra fody,https://wikipedia.org/wiki/Aldabra_fody,https://en.wikipedia.org/wiki/File:Foudia_aldabrana.jpg,Foudia aldabrana
Aldabra white-eye,https://wikipedia.org/wiki/Aldabra_white-eye,https://en.wikipedia.org/wiki/File:Aldabra_white-eye_1985_stamp_of_Seychelles.jpg,Aldabra white eye 1985 stamp of Seychelles
Alder flycatcher,https://wikipedia.org/wiki/Alder_flycatcher,https://en.wikipedia.org/wiki/File:Empidonax_alnorum_CT2.jpg,Empidonax alnorum CT2
Aleutian tern,https://wikipedia.org/wiki/Aleutian_tern,https://en.wikipedia.org/wiki/File:Aleutian_Tern.jpg,Aleutian Tern
Alexandrine parakeet,https://wikipedia.org/wiki/Alexandrine_parakeet,https://en.wikipedia.org/wiki/File:Alexandrine_parakeet_(Psittacula_eupatria_eupatria)_male.jpg,Alexandrine parakeet (Psittacula eupatria eupatria) male
Algerian nuthatch,https://wikipedia.org/wiki/Algerian_nuthatch,https://en.wikipedia.org/wiki/File:Sitta_ledanti_-_Karim_Haddad_(cropped).jpeg,Sitta ledanti   Karim Haddad (cropped).jpeg
Allen's gallinule,https://wikipedia.org/wiki/Allen%27s_gallinule,https://en.wikipedia.org/wiki/File:Porphyrio_alleni_Martien_Brand.jpg,Porphyrio alleni Martien Brand
Allen's hummingbird,https://wikipedia.org/wiki/Allen%27s_hummingbird,https://en.wikipedia.org/wiki/File:Allen%27s_Hummingbird_Guarding_Flower_Patch.jpg,Allen's Hummingbird Guarding Flower Patch
Allpahuayo antbird,https://wikipedia.org/wiki/Allpahuayo_antbird,https://en.wikipedia.org/wiki/File:Percnostola_arenarum_map.svg,Percnostola arenarum map.svg
Alor boobook,https://wikipedia.org/wiki/Alor_boobook,N/A,N/A
Alor myzomela,https://wikipedia.org/wiki/Alor_myzomela,N/A,N/A
Alpine accentor,https://wikipedia.org/wiki/Alpine_accentor,https://en.wikipedia.org/wiki/File:Alpine_accentor_saganta.jpg,Alpine accentor saganta
Alpine chough,https://wikipedia.org/wiki/Alpine_chough,https://en.wikipedia.org/wiki/File:Alpine_Chough_by_Jim_Higham.jpg,Black crow like bird with yellow bill perched on rock with valley in the background
Alpine leaf warbler,https://wikipedia.org/wiki/Alpine_leaf_warbler,https://en.wikipedia.org/wiki/File:Tickell%27s_Leaf_Warbler.JPG,Tickell's Leaf Warbler.JPG
Alpine pipit,https://wikipedia.org/wiki/Alpine_pipit,https://en.wikipedia.org/wiki/File:Anthus_gutturalis_HBW.jpg,Anthus gutturalis HBW
Alpine swift,https://wikipedia.org/wiki/Alpine_swift,https://en.wikipedia.org/wiki/File:%CE%92%CE%BF%CF%85%CE%BD%CE%BF%CF%83%CF%84%CE%B1%CF%87%CF%84%CE%AC%CF%81%CE%B1_Alpine_Swift_Tachymarptis_melba.jpg,Βουνοσταχτάρα Alpine Swift Tachymarptis melba
